Wavelength, Spectrum
660.387536,2502.466111
660.727032,2461.203333
661.066481,2563.146667
661.405884,2521.883889
661.745240,2514.602222
662.084550,2538.874444
662.423814,2534.020000
662.763031,2546.156111
663.102201,2509.747778
663.441326,2478.193889
663.780403,2519.456667
664.119435,2512.175000
664.458419,2483.048333
664.797358,2524.311111
665.136249,2458.776111
665.475095,2563.146667
665.813894,2616.545556
666.152646,2577.710000
666.491352,2536.447222
666.830011,2453.921667
667.168624,2478.193889
667.507190,2495.184444
667.845710,2485.475556
668.184183,2521.883889
668.522609,2568.001111
668.860989,2487.902778
669.199322,2473.339444
669.537609,2512.175000
669.875849,2519.456667
670.214043,2495.184444
670.552190,2439.358333
670.890290,2436.931111
671.228344,2548.583333
671.566351,2592.273333
671.904312,2512.175000
672.242226,2512.175000
672.580093,2560.719444
672.917913,2509.747778
673.255687,2502.466111
673.593415,2548.583333
673.931095,2495.184444
674.268729,2504.893333
674.606316,2480.621111
674.943857,2485.475556
675.281350,2422.367778
675.618797,2453.921667
675.956198,2551.010556
676.293551,2504.893333
676.630858,2526.738333
676.968118,2504.893333
677.305331,2568.001111
677.642498,2500.038889
677.979618,2551.010556
678.316691,2531.592778
678.653717,2463.630556
678.990696,2504.893333
679.327629,2548.583333
679.664515,2485.475556
680.001354,2519.456667
680.338146,2475.766667
680.674892,2458.776111
681.011590,2524.311111
681.348242,2551.010556
681.684847,2558.292222
682.021405,2536.447222
682.357916,2439.358333
682.694380,2453.921667
683.030798,2407.804444
683.367168,2519.456667
683.703492,2521.883889
684.039768,2531.592778
684.375998,2461.203333
684.712181,2560.719444
685.048317,2509.747778
685.384406,2432.076667
685.720448,2485.475556
686.056443,2446.640000
686.392392,2480.621111
686.728293,2466.057778
687.064147,2509.747778
687.399954,2560.719444
687.735715,2521.883889
688.071428,2485.475556
688.407094,2444.212778
688.742714,2500.038889
689.078286,2509.747778
689.413811,2456.348889
689.749290,2512.175000
690.084721,2495.184444
690.420105,2504.893333
690.755442,2519.456667
691.090732,2517.029444
691.425975,2558.292222
691.761171,2517.029444
692.096320,2526.738333
692.431422,2466.057778
692.766477,2468.485000
693.101485,2529.165556
693.436445,2531.592778
693.771358,2517.029444
694.106225,2526.738333
694.441044,2483.048333
694.775816,2543.728889
695.110541,2480.621111
695.445218,2502.466111
695.779849,2487.902778
696.114432,2495.184444
696.448969,2483.048333
696.783458,2548.583333
697.117900,2427.222222
697.452294,2473.339444
697.786642,2536.447222
698.120942,2524.311111
698.455195,2446.640000
698.789401,2560.719444
699.123559,2509.747778
699.457671,2536.447222
699.791735,2483.048333
700.125752,2439.358333
700.459721,2461.203333
700.793644,2480.621111
701.127519,2449.067222
701.461346,2480.621111
701.795127,2526.738333
702.128860,2514.602222
702.462546,2500.038889
702.796184,2507.320556
703.129776,2485.475556
703.463319,2463.630556
703.796816,2565.573889
704.130265,2500.038889
704.463667,2526.738333
704.797022,2497.611667
705.130329,2461.203333
705.463589,2458.776111
705.796801,2441.785556
706.129966,2551.010556
706.463084,2492.757222
706.796154,2534.020000
707.129177,2487.902778
707.462152,2500.038889
707.795080,2587.418889
708.127960,2572.855556
708.460794,2449.067222
708.793579,2546.156111
709.126317,2461.203333
709.459008,2495.184444
709.791651,2429.649444
710.124247,2517.029444
710.456796,2526.738333
710.789296,2446.640000
711.121750,2429.649444
711.454156,2531.592778
711.786514,2541.301667
712.118825,2536.447222
712.451088,2468.485000
712.783304,2487.902778
713.115472,2548.583333
713.447593,2553.437778
713.779666,2560.719444
714.111691,2551.010556
714.443669,2531.592778
714.775600,2514.602222
715.107482,2521.883889
715.439318,2475.766667
715.771105,2519.456667
716.102845,2422.367778
716.434538,2473.339444
716.766182,2456.348889
717.097780,2526.738333
717.429329,2470.912222
717.760831,2534.020000
718.092285,2485.475556
718.423692,2487.902778
718.755051,2521.883889
719.086362,2558.292222
719.417625,2517.029444
719.748841,2541.301667
720.080009,2463.630556
720.411130,2480.621111
720.742203,2456.348889
721.073228,2521.883889
721.404205,2495.184444
721.735134,2470.912222
722.066016,2509.747778
722.396850,2497.611667
722.727637,2412.658889
723.058375,2473.339444
723.389066,2466.057778
723.719709,2509.747778
724.050304,2502.466111
724.380852,2470.912222
724.711351,2485.475556
725.041803,2517.029444
725.372207,2524.311111
725.702563,2461.203333
726.032872,2490.330000
726.363132,2492.757222
726.693345,2546.156111
727.023510,2439.358333
727.353627,2514.602222
727.683696,2412.658889
728.013717,2538.874444
728.343691,2517.029444
728.673616,2492.757222
729.003494,2405.377222
729.333323,2446.640000
729.663105,2524.311111
729.992839,2458.776111
730.322525,2475.766667
730.652163,2534.020000
730.981753,2468.485000
731.311295,2507.320556
731.640789,2512.175000
731.970236,2444.212778
732.299634,2521.883889
732.628984,2473.339444
732.958286,2560.719444
733.287541,2490.330000
733.616747,2422.367778
733.945905,2509.747778
734.275016,2393.241111
734.604078,2490.330000
734.933092,2500.038889
735.262058,2461.203333
735.590977,2495.184444
735.919847,2466.057778
736.248669,2534.020000
736.577443,2446.640000
736.906169,2558.292222
737.234847,2424.795000
737.563476,2487.902778
737.892058,2478.193889
738.220592,2468.485000
738.549077,2475.766667
738.877514,2519.456667
739.205904,2541.301667
739.534245,2492.757222
739.862538,2419.940556
740.190783,2419.940556
740.518979,2514.602222
740.847128,2534.020000
741.175228,2514.602222
741.503280,2507.320556
741.831284,2478.193889
742.159240,2478.193889
742.487148,2546.156111
742.815007,2502.466111
743.142818,2492.757222
743.470581,2424.795000
743.798296,2565.573889
744.125963,2444.212778
